index,user_id,news_id,news_title,actual_click,predicted_click,is_correct
0,U87243,N78206,Sarah Hyland documents painful tattoo removal,0,0,True
0,U87243,N26368,"Roommate, her boyfriend charged in death of missing Atlanta student",0,0,True
0,U87243,N7578,This little Montana town is full of Power Wagons and Mustangs,0,0,True
0,U87243,N58592,Christmas tree decorating ideas for every style and budget,0,1,False
0,U87243,N19858,100 vintage baby names coming back into style,0,1,False
0,U87243,N58258,Stop! Read This Guide Before You Buy an Air Fryer.,0,1,False
0,U87243,N18478,"LSU, Ohio State, and Clemson control path to College Football Playoff, but who else does too?",0,0,True
0,U87243,N2591,Meghan Markle and Prince Harry Reunite with Kate Middleton and Prince William for Remembrance Service,0,0,True
0,U87243,N97778,Industries Where Your Job Is Most Likely To Get Outsourced,0,0,True
0,U87243,N32954,Distressing photos show glaciers that are disappearing or on the brink of collapse around the world,0,0,True
0,U87243,N94157,"John Travolta Shares Rare Photo of Son Ben, 8, in Plane Cockpit: He's 'Taking My Place!'",1,0,False
0,U87243,N39404,2020 Democratic Voters Divided Down Demographic Lines,0,0,True
0,U87243,N108809,"Week in celebrity photos for Nov. 4-8, 2019",0,0,True
0,U87243,N78699,Rep. Ilhan Omar is accused of 'dog whistle' anti-Semitism after she posts tweet implying billionaire businessman Leon Cooperman is only supporting Michael Bloomberg's presidential run because he is Jewish,1,0,False
0,U87243,N71090,Missing California hiker found dead at top of glacier just weeks before baby was due,1,0,False
0,U87243,N40282,Judge includes law student's toddler during sweet swearing-in ceremony,0,0,True
0,U87243,N31174,Broadway Actress Laurel Griggs Dies at Age 13,1,0,False
0,U87243,N37924,A Texas woman was legally declared dead while still alive,0,0,True
0,U87243,N27822,"An investor's guide to space, Wall Street's next trillion-dollar industry",0,0,True
1,U598644,N47996,Oprah's list of favorite things is full of great holiday gifts under $50,0,0,True
1,U598644,N82719,Widow Sues Truth Aquatics Owner In Conception Boat Fire That Killed 34,0,0,True
1,U598644,N117066,"How Big Is Your Turkey? Most Americans Pick This Smaller Size, Says Survey",0,0,True
1,U598644,N8491,'It's the biggest gift I've ever gotten:' Iraq War veteran who lost leg and suffered significant trauma will come home to a hero's house in Glastonbury,0,1,False
