index,news,true_label,prediction,is_correct
1,Did Hitler Invent the Inflatable Sex Doll?,False,True,False
2,Does Texting ‘RBG’ to 50409 Send a Letter to Your Senators?,True,False,False
6,Did the White House Watch the Benghazi Attack and Do Nothing?,False,True,False
7,Do Color Codes on Toothpaste Tubes Identify Their Ingredients?,False,True,False
9,Did Ruth Bader Ginsburg Say that Pedophilia Was Good for Children?,False,False,True
10,Bow Hunting Wild Horses,True,True,True
11,‘Welcome to Mingo County’,False,True,False
12,Dwayne Johnson Arrested,False,False,True
13,‘Guccifer’ Is Not Missing or Dead,False,False,True
14,Fireworks Explode in Woman During Shoplifting Attempt,False,False,True
15,‘Pawn Stars’ Personality Richard Harrison Dies at 77,True,True,True
16,Tim Hortons Adding Marijuana to Their Menu,False,False,True
17,Obama to Remove Statue of Liberty Because It Offends Muslims,False,False,True
19,Cop Shoots 2-Year-Old Black Baby After Mistaking Pacifier for Gun,False,False,True
20,Chris Christie Vetoes Equal Pay for Women as ‘Against Religious Freedom’,False,False,True
21,‘Arab Guy’ Renounces Faith on Egyptian Television?,False,False,True
23,"Omar Mateen’s Final Text to Wife Released: “I’m Gay, That’s Why I’m Doing This.”",False,False,True
24,Alton Sterling Killed by Trump Supporter Robert Kinnison,False,False,True
26,Monsanto Buys Whole Foods,False,False,True
28,Teen Playing ‘Pokemon Go’ Stabbed and Mugged for His iPhone,False,True,False
30,‘Stairway to Heaven’ Fireworks Display,True,True,True
31,DeRay Mckesson and the Summer of Chaos,False,"To determine the authenticity of ""(DeRay Mckesson and the Summer of Chaos),"" apply the above verification steps. If the article is found to be accurate after verification, the answer is ""True."" If not, the answer is ""False.""",False
32,Obama Commissions Gender Neutral Bible,False,False,True
33,Dallas Shooter Not Identified as Neo-Nazi Jeffrey Harris,False,False,True
34,Pride of Lions Kills Five Poachers and Injures Three Others in Zimbabwe,False,False,True
35,Einstein Bicycles as A-Bomb Explodes,False,False,True
37,‘The Simpsons’ Predicted Pokemon Go,False,True,False
38,Steven Hildreth Jr.’s Traffic Stop,True,True,True
39,Nicolas Cage Death Hoax,False,False,True
40,Major Highway Accident After Man Stops in Middle of Highway to Catch Pikachu!,False,False,True
42,Did John Kerry Hide His Connection to an Iranian Official with Whom He Negotiated a Nuclear Deal?,False,False,True
43,Ruth Ginsburg Threatens to ‘Resign from SCOTUS’ If Trump Is Elected President,False,False,True
44,"Pope Francis Shocks World, Endorses Donald Trump for President",False,False,True
46,Iranian Negotiator Discusses Nuclear Deal,False,True,False
47,John Cena Death Hoax,False,False,True
48,President Obama: Americans Are Better Off Under Martial Law,False,False,True
49,Teen Kills Younger Brother Because He Thought He Deleted His Pokemon,False,False,True
